Periodo,Sexo,Edad,Estado civil,Total
2015T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"413,4"
2015T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"446,6"
2015T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"446,4"
2014T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"460,4"
2014T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"466,5"
2014T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"496,9"
2014T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"504,4"
2013T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"474,9"
2013T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"458,7"
2013T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"480,7"
2013T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"486,9"
2012T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"422,3"
2012T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"396,2"
2012T2,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,406
2012T1,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,420
2011T4,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"384,1"
2011T3,Ambos sexos,Total,Separados/Separadas o Divorciados/Divorciadas,"343,3"
